tam,burn_rate,requested_amount,milestone_count,team_experience,industry,prev_funding,is_successful
1238947,8198,254138,7,1,DeFi,0,0
12979883,1410,29610,4,4,SaaS,1,1
51239733,17288,172880,4,9,AI,1,1
271061,41567,581938,6,3,AI,1,1
568092,5300,116600,4,1,Gaming,0,0
3059771,980,34300,5,1,Gaming,0,0
74186419,5068,40544,7,3,AI,0,0
309721915,22726,659054,3,0,Gaming,0,0
13889350,6829,102435,2,1,SaaS,0,0
3506267,4189,33512,3,4,DeFi,0,0
25005026,8007,264231,6,3,SaaS,0,0
3122304,3477,24339,6,0,AI,0,0
9594319,1341,41571,2,5,DeFi,0,0
10758384,27064,622472,4,5,SaaS,0,0
26352097,1816,14528,1,5,Gaming,1,0
10981127,2717,51623,4,11,Gaming,0,0
351758,4911,68754,5,6,Gaming,0,0
183364,5301,53010,4,2,DeFi,0,0
101259766,19623,412083,4,4,SaaS,1,1
4315303,1757,14056,6,5,DeFi,0,0
37312383,21458,214580,5,5,AI,0,0
3336665,16715,183865,3,9,SaaS,0,0
18409203,20831,229141,4,3,AI,0,0
22572512,3648,58368,1,8,SaaS,0,1
10110742,4326,134106,2,4,SaaS,0,0
7829140,8639,51834,3,4,Infrastructure,0,0
6532098,4143,136719,4,2,Infrastructure,1,0
1145079,6922,214582,5,3,DeFi,1,0
6775741,44448,1066752,6,3,AI,1,1
539483762,2340,23400,6,12,Gaming,0,1
6246747,90510,1538670,3,7,Gaming,1,1
123140642,24469,342566,4,4,SaaS,1,1
15858561,44325,487575,5,1,SaaS,0,0
387246,4552,109248,4,5,Infrastructure,0,0
6170664,17060,102360,5,3,DeFi,0,0
3262267,30258,211806,5,0,AI,0,0
2098652,5392,80880,2,1,Infrastructure,0,0
8494896,7756,193900,4,3,Gaming,0,0
154482930,4278,34224,2,1,Gaming,0,0
3258758,2020,36360,7,1,DeFi,1,1
14449460,45235,316645,6,7,DeFi,0,0
81282280,21522,516528,6,6,Infrastructure,1,1
6045012,7974,135558,4,11,Gaming,1,1
9737340,4157,141338,1,3,AI,0,0
3140609,6710,194590,5,0,SaaS,0,0
287133,62017,1240340,1,4,Infrastructure,1,1
9609216,18602,427846,4,0,DeFi,0,0
622301188,31047,931410,4,3,Gaming,1,0
12202656,57953,521577,2,11,Infrastructure,0,0
23703052,4221,63315,7,6,SaaS,1,1
14294775,10004,300120,7,6,AI,1,0
454704,7754,209358,6,2,Infrastructure,0,0
2645857,9407,65849,3,1,Gaming,1,0
1091026,38541,770820,6,5,Gaming,0,0
49442427,32136,610584,3,9,AI,0,1
