industry,requested_amount_usd,milestone_count,team_experience_years,is_successful
Apps,5000000.0,1,3.0417522245037647,1
Art,500000.0,1,0.3668720054757016,1
Curated Web,2535000.0,2,0.0,1
Analytics,1250000.0,2,0.12867898699520877,1
Software,35000000.0,1,10.182067077344286,1
Curated Web,50000.0,1,0.0,0
Enterprise Software,1800000.0,1,1.0,0
Local Search,0.0,1,0.999315537303217,1
E-Commerce,0.0,1,0.2600958247775496,1
Augmented Reality,700000.0,1,2.4531143052703626,1
Entertainment,50000.0,1,0.04654346338124572,0
Software,14000000.0,1,12.28747433264887,1
Advertising,40000000.0,1,1.0,0
Cars,0.0,1,2.099931553730322,0
Clean Technology,5000000.0,1,1.2785763175906912,0
Games,200000000.0,1,20.752908966461327,0
Content,0.0,1,2.198494182067077,0
Chat,0.0,1,1.2347707049965777,1
Curated Web,43811.0,2,0.0,0
Cosmetics,50000.0,1,0.0,0
Doctors,1700000.0,2,0.5201916495550992,1
Advertising,50000.0,2,1.5496235455167693,0
Software,396000000.0,5,0.0,1
Biotechnology,15034750.0,6,12.988364134154688,1
Android,250000.0,1,3.786447638603696,0
Finance,3452941.0,3,1.0,0
Advertising,0.0,1,0.5804243668720055,0
Software,50000.0,1,1.3908281998631074,0
DIY,25000.0,1,1.0,0
E-Commerce,118000.0,1,0.0,0
Presentations,250000.0,2,1.0,1
Internet of Things,4000000.0,1,3.356605065023956,1
Content,100000.0,1,1.0,0
Software,85000000.0,1,7.1184120465434635,1
SaaS,3167062.0,1,2.940451745379877,0
EdTech,95875000.0,6,1.2292950034223136,1
Software,0.0,1,1.0,1
Collaboration,0.0,1,1.0,0
Curated Web,162000000.0,5,1.0,1
Interior Design,0.0,1,14.195756331279945,1
Information Technology,15000000.0,2,1.0,1
Finance,0.0,1,12.125941136208077,1
Consumer Electronics,500000.0,2,0.0,0
Enterprise Software,7289000.0,3,0.0,1
Games,503000.0,2,0.47091033538672145,0
Software,169500000.0,3,28.03832991101985,1
Technology,0.0,1,0.0,1
Business Services,701760.0,1,1.0,0
Creative,204952.0,1,1.0732375085557837,0
Software,2249999.0,2,0.243668720054757,1
Semiconductors,13708150.0,3,0.7994524298425736,0
Web Hosting,65000000.0,3,0.5859000684462696,1
Android,1500000.0,1,0.0,1
Cloud Data Services,148000000.0,3,1.3305954825462012,1
Clean Technology,15000000.0,3,8.676249144421629,1
Software,272000.0,1,4.328542094455853,0
Coupons,50958896.6114209,2,2.830937713894593,1
Databases,26000000.0,1,1.0,1
Security,38064570.0,4,2.349075975359343,1
Web Hosting,2258720.0,1,1.0,1
Online Travel,500000.0,1,0.08487337440109514,0
Software,0.0,1,1.108829568788501,0
Mobile,3378975.0,1,6.9431895961670085,1
Automotive,9416354.0,6,0.5804243668720055,1
E-Commerce,500000.0,1,1.0,1
E-Commerce,12900000.0,6,0.0,1
Automotive,4500000.0,1,1.0,0
Photography,30000000.0,2,2.1656399726214923,1
Curated Web,876780000.0,6,1.0841889117043122,1
Advertising,27428.6215837652,1,0.0,0
Mobile,6100000.0,2,5.864476386036961,1
Apps,0.0,1,1.160848733744011,1
Education,12800000.0,3,0.2464065708418891,1
Games,3987693.0,2,0.0,1
Mobile,7000000.0,1,0.4490075290896646,1
Advertising,17129760.0,4,0.45722108145106094,1
Accounting,1300000.0,3,0.07665982203969883,1
Software,3050000.0,3,1.4647501711156743,1
Services,11052498.0,2,1.0,1
Concentrated Solar Power,5714285.71428571,1,1.5304585900068446,1
Software,6700000.0,2,1.8617385352498288,1
Android,23857750.0,5,0.30390143737166325,1
Analytics,6528902.0,3,3.1074606433949348,0
Curated Web,650000.0,1,0.7665982203969883,0
Content Creators,20068328.451591,4,1.6673511293634498,1
Advertising,2100000.0,1,1.0,0
Curated Web,0.0,1,0.16700889801505817,0
Games,12250000.0,2,1.0,0
Messaging,1500000.0,2,1.0,0
Contact Centers,126000000.0,1,26.885694729637233,1
Apps,1292301.0,1,3.5071868583162216,0
Mobile,30000000.0,1,1.2484599589322383,1
Finance,1380700.0,1,0.038329911019849415,0
E-Commerce,83574271.0,5,0.6105407255304586,1
Fashion,105651.0,2,2.242299794661191,0
E-Commerce,0.0,1,5.639972621492129,0
Automotive,80000.0,2,0.0,0
Point of Sale,0.0,1,1.2950034223134839,1
SEO,70000.0,1,0.0,0
Enterprises,925000.0,2,2.9952087611225187,1
Games,10312103.0,2,0.4517453798767967,0
Biotechnology,3000000.0,1,1.0,1
Clean Technology,10200000.0,1,8.049281314168377,0
Networking,15000.0,1,0.0,0
Cloud Computing,118000000.0,4,0.2518822724161533,1
Batteries,502860000.0,8,4.832306639288158,1
Online Rental,500000.0,1,1.0,0
3D Technology,0.0,1,1.0,1
Music,50000000.0,2,4.7501711156741955,1
Hardware + Software,0.0,1,11.85763175906913,1
Biotechnology,500000.0,1,3.0061601642710474,0
Search,6000000.0,2,0.0,1
Application Platforms,14000000.0,3,1.0,1
Biotechnology,40000000.0,1,23.184120465434635,1
Analytics,500000.0,1,10.609171800136892,1
Music,263400.0,1,0.0,0
Biotechnology,400988.0,3,13.095140314852841,1
Software,1770000.0,1,4.851471594798084,1
Curated Web,4400000.0,2,9.338809034907598,0
Automotive,2700000.0,1,25.727583846680357,1
E-Commerce,875000.0,5,0.0,1
Biotechnology,6790000.0,2,18.203969883641342,1
Advertising,25000.0,1,0.0,0
Biotechnology,805908.0,1,6.718685831622176,0
Curated Web,0.0,1,7.665982203969883,1
Doctors,1833333.0,2,1.0,0
Innovation Engineering,21800000.0,1,1.0,1
Biotechnology,186036236.0,6,1.730321697467488,1
Clean Technology,510000000.0,2,3.509924709103354,0
Curated Web,0.0,1,1.0,1
Education,451198.382904996,1,1.0,0
Engineering Firms,1400000.0,1,20.3750855578371,1
E-Commerce,60000.0,1,2.1464750171115674,0
Biotechnology,64640151.5803158,2,12.511978097193703,1
Apps,396998.0,1,0.010951403148528405,1
E-Commerce,10000000.0,1,25.426420260095824,1
Business Services,255100000.0,3,6.888432580424367,1
EdTech,0.0,1,0.7501711156741958,1
Events,27000000.0,1,1.0,0
Education,2000000.0,1,0.5831622176591376,1
Biotechnology,126385000.0,3,1.0,1
Health Care,13500000.0,2,1.0,1
Health and Wellness,200000000.0,1,1.0,1
Health Care,63016244.0,4,6.223134839151267,1
Health Care,150000.0,1,1.0,0
Medical,32000000.0,1,1.0,0
Enterprise Software,4045500.0,3,5.352498288843258,1
Biotechnology,113701127.0,6,2.5845311430527036,1
Apps,457282.0,7,0.0,0
Consumer Electronics,60000000.0,1,2.8829568788501025,0
Software,225000.0,1,1.322381930184805,0
Semiconductors,15900000.0,1,1.0,0
Biotechnology,775000.0,2,10.102669404517453,1
Software,4500000.0,2,10.69678302532512,1
Career Management,25305000.0,4,3.707049965776865,1
Credit Cards,7131124.0,3,1.2594113620807665,1
Health Care,13793098.0,3,8.167008898015059,1
Cloud Computing,1999998.0,1,10.89390828199863,1
Biotechnology,15581502.0,2,1.0,0
Health Care,21376001.0,6,5.763175906913073,1
Health and Wellness,1155000.0,2,0.16700889801505817,1
Games,0.0,1,9.815195071868583,1
Biotechnology,35000000.0,1,2.891170431211499,1
Development Platforms,5000000.0,1,0.0,1
Hardware + Software,10000000.0,1,60.0848733744011,1
Real Estate,0.0,1,1.3579739904175223,0
Consulting,4000000.0,1,1.0,1
Big Data Analytics,150000.0,1,0.13415468856947296,0
Search,200000.0,1,0.0,0
Software,2000000.0,1,1.0,0
Biotechnology,110640466.0,9,7.370294318959616,1
Software,0.0,1,1.0,1
Security,8198838.0,4,6.496919917864476,1
Biotechnology,93654902.0,5,1.0,1
Security,2090000.0,1,1.0,0
Semiconductors,4880000.0,1,7.408624229979466,0
Biotechnology,0.0,1,1.0,0
Enterprise Software,5280000.0,1,6.551676933607118,1
Biotechnology,116605707.0,4,0.5831622176591376,1
Finance,5000000.0,1,1.0,0
Self Development,120000.0,1,0.024640657084188913,0
Employer Benefits Programs,52422326.0,5,12.908966461327857,1
Biotechnology,91100000.0,2,4.073921971252567,1
Biotechnology,9599860.0,3,1.0,1
Social Media,28000000.0,3,0.9144421629021219,1
Software,9500000.0,1,1.0,1
Mobile,100000000.0,1,18.759753593429156,1
Biotechnology,82000000.0,3,1.0,1
Telecommunications,38247779.0,2,1.0,1
Android,7300000.0,1,0.008213552361396304,1
Software,75000000.0,3,1.3826146475017111,1
Biotechnology,76800000.0,3,1.0,1
Advertising,43000000.0,2,1.0,1
Software,7974296.0,1,15.277207392197125,1
Curated Web,40000.0,1,1.0184804928131417,1
Biotechnology,3162000.0,2,1.0,1
Data Integration,25000000.0,1,1.0,1
Batteries,9800000.0,3,1.0,1
SaaS,0.0,3,0.34223134839151265,0
B2B,116987.0,3,0.04380561259411362,1
Biotechnology,15600000.0,2,1.0,1
Software,24000000.0,3,2.3846680355920604,1
Biotechnology,7000720.0,2,11.838466803559205,1
Biotechnology,12300000.0,2,6.8199863107460645,0
Application Platforms,242563.0,1,0.0,0
Technology,26000000.0,1,1.0,0
Mobile,58200000.0,5,0.2464065708418891,1
Hardware,80000000.0,1,1.0,1
Biotechnology,22585000.0,2,5.886379192334018,1
Software,13360000.0,2,0.0,0
Comparison Shopping,1300000.0,1,4.848733744010952,1
Electronics,2000000.0,1,1.0,0
Enterprise Software,16400000.0,4,1.0896646132785763,0
Social Media,0.0,1,7.83025325119781,1
Cloud Computing,190000.0,2,1.0,0
Information Technology,3000000.0,1,1.0,0
Software,214208700.0,10,0.08487337440109514,1
Enterprise Software,5422959.0,1,24.99110198494182,1
Health Care,10000000.0,2,1.864476386036961,1
Biotechnology,805000.0,1,1.0,1
Mobile,0.0,1,24.164271047227928,1
Biotechnology,30204758.8708734,2,1.0,1
Biotechnology,36700005.0,4,1.0,1
Business Services,28000000.0,3,2.622861054072553,1
Advertising,2574004.0,2,1.5523613963039014,1
Manufacturing,45400000.0,1,33.94387405886379,0
Health Care,15000000.0,1,1.0,1
Biotechnology,10300000.0,2,1.0,1
Biotechnology,10000000.0,2,18.510609171800137,1
Advertising,17600000.0,3,0.0,1
Analytics,7706593.0,6,1.0,0
Advertising,50000.0,1,0.0,0
Advertising,1550000.0,2,1.0,1
Health Care,8900000.0,1,1.0,0
Advertising,4549999.0,2,0.2272416153319644,0
Games,9000000.0,1,7.917864476386037,1
Android,0.0,1,0.0,0
Cloud Computing,49500000.0,3,0.917180013689254,1
Health Care,82000000.0,4,5.330595482546201,1
Biotechnology,16377078.0,5,6.261464750171116,1
Advertising,48500000.0,5,0.2518822724161533,1
Advertising,10000000.0,1,4.4435318275154,1
Biotechnology,107500000.0,2,6.231348391512663,1
Advertising,12400000.0,3,2.6967830253251197,1
Clean Technology,3750000.0,1,1.0,0
Biotechnology,10350000.0,2,1.2292950034223136,0
Entertainment,24020000.0,4,0.13689253935660506,1
Software,10000000.0,1,5.774127310061601,1
Enterprise Software,24845955.0,6,2.841889117043121,1
Public Relations,6500000.0,2,1.0,1
Business Services,7400000.0,1,1.0,1
Advertising,150000.0,1,0.0,0
Advertising,40400000.0,4,1.6673511293634498,1
Advertising,100000.0,1,0.2190280629705681,0
Advertising,2000000.0,1,1.0,0
Biotechnology,36043700.0,7,21.95208761122519,1
Advertising,3500.0,1,0.0,0
Advertising,2940000.0,1,1.2813141683778233,1
Advertising,119191000.0,7,1.108829568788501,1
Advertising,10000000.0,3,1.4455852156057496,1
Aerospace,0.0,1,1.0,1
Ad Targeting,114000000.0,3,2.080766598220397,1
Health Care,15500000.0,1,1.0,0
Biotechnology,2842048.0,1,13.182751540041068,1
Mobile,4160600.0,2,0.7173169062286106,0
Health and Wellness,1240000.0,1,31.60574948665298,1
Consulting,5000000.0,1,11.000684462696784,1
Advertising,3100000.0,1,3.0855578370978782,1
Mobile,29758289.0,2,1.0,1
Enterprise Software,1015000.0,2,1.3360711841204653,1
Semiconductors,5800000.0,1,1.0,0
Health and Wellness,175000000.0,1,1.0,1
Semiconductors,56381909.0,7,3.3100616016427105,1
Service Providers,5500000.0,1,1.0,0
Advertising,2000000.0,1,0.8158795345653662,0
Curated Web,12000.0,1,0.2518822724161533,0
Health and Wellness,2500190.0,1,1.0,0
